engine,rule_id,rule,keyword_1,keyword_2,notes
gemini,gemini_01,"Claims must be supported with specific and verifiable evidence, such as quantitative data, statistics, or concrete examples.","Specific Evidence","","quantitative data/statistics/examples are direct evidence"
gemini,gemini_02,"Information must be organized using a clear, hierarchical structure with elements like headings, subheadings, lists, or tables to facilitate parsing.","Logical Structure","","explicitly emphasizes hierarchy/headings/lists/tables"
gemini,gemini_03,"The content must be factually accurate, reliable, and up-to-date.","Factual Accuracy","Up-to-date","contains two independent requirements: accuracy and timeliness"
gemini,gemini_04,"The document must be technically complete and accessible, free of elements like paywalls, broken formatting, or non-content noise that impede parsing.","Accessibility","","paywalls/broken formatting/parsing barriers directly correspond to Accessibility"
gemini,gemini_05,"The document must clearly distinguish between objective factual information and subjective opinion or speculation.","Neutral Tone","","emphasizes objective information versus subjective opinion/speculation"
gemini,gemini_06,"The document must maintain a tight focus on the topic and avoid irrelevant information.","Topic Focus","","direct topic relevance requirement"
gemini,gemini_07,"The document must use clear and direct language, avoiding unnecessary jargon, verbosity, and conversational filler.","Clear Language","Conciseness","clear/direct/no jargon + avoid verbosity/filler"
gemini,gemini_08,"The document should cite credible sources or attribute information to experts to establish authority and allow for verification.","Source Citation","","explicit citations/attribution to credible sources"
gemini,gemini_09,"The document should present a balanced and nuanced perspective, including multiple viewpoints or addressing complexities where appropriate.","Balanced View","","explicit multiple viewpoints/nuance/complexity"
gemini,gemini_10,"The document should present information in a logically coherent flow, avoiding fragmentation and disorganization.","Cohesive Flow","","focuses on coherence and non-fragmentation rather than document hierarchy"
gemini,gemini_11,"The document should provide a comprehensive, multi-faceted overview of the topic, covering all key aspects.","Comprehensive","","breadth and coverage of all key aspects"
gemini,gemini_12,"The document should provide explanatory depth by detailing the 'why' and 'how' of a topic, not just stating surface-level facts.","In-depth","","explicit why/how explanatory depth"
gemini,gemini_13,"The document should state a direct summary at the beginning.","Conclusion First","","direct summary placed at beginning"

gpt,gpt_01,"Define key terms and concepts to ensure unambiguous understanding.","Clear Language","","definition of terms reduces ambiguity"
gpt,gpt_02,"Ensure the document is self-contained, providing all necessary information without relying on un-provided external links.","Self-Contained","","explicitly self-contained and independent of external links"
gpt,gpt_03,"Include author and publication date metadata to signal timeliness and authority.","Up-to-date","","publication date is explicit timeliness signal; authority metadata is not itself Source Citation"
gpt,gpt_04,"Maintain a singular focus on the topic, eliminating tangential, promotional, and conversational content.","Topic Focus","Informational Purpose","topic focus + removal of promotional/conversational material"
gpt,gpt_05,"Organize content with a logical flow using semantic headings, lists, and tables for machine readability.","Logical Structure","Cohesive Flow","headings/lists/tables + explicit logical flow"
gpt,gpt_06,"Present a balanced perspective that acknowledges complexity, counterarguments, and different viewpoints.","Balanced View","","explicit counterarguments/multiple viewpoints"
gpt,gpt_07,"Prioritize objective, factual information over unsubstantiated opinions or anecdotes.","Neutral Tone","","objective information versus unsupported opinion"
gpt,gpt_08,"Provide actionable insights or steps.","Actionable","","explicit actionable steps"
gpt,gpt_09,"Provide comprehensive coverage that explains the 'how' and 'why' of a topic, not just the 'what'.","Comprehensive","In-depth","breadth/comprehensive coverage + why/how explanatory depth"
gpt,gpt_10,"Remove non-content elements like UI boilerplate, advertisements, and irrelevant metadata.","Topic Focus","Informational Purpose","remove irrelevant/non-content material + advertisements"
gpt,gpt_11,"Support claims with specific, verifiable evidence such as data, examples, and citations to authoritative sources.","Specific Evidence","Source Citation","data/examples + authoritative citations"
gpt,gpt_12,"Synthesize information into a cohesive narrative rather than presenting fragmented points.","Cohesive Flow","","explicit cohesive narrative and avoidance of fragmentation"
gpt,gpt_13,"Write in a clear, concise, and accessible style, avoiding jargon and unnecessary verbosity.","Clear Language","Conciseness","accessible here means readable, not technical Accessibility/paywall access"

claude,claude_01,"Acknowledge nuance, complexities, and multiple perspectives, especially for multi-faceted topics.","Balanced View","","explicit nuance and multiple perspectives"
claude,claude_02,"Define key concepts, technical terms, and acronyms upon first use.","Clear Language","","term/acronym definition improves clarity and unambiguous understanding"
claude,claude_03,"Ensure a cohesive narrative with a logical flow that connects ideas clearly.","Cohesive Flow","","explicitly emphasizes connected ideas and narrative flow"
claude,claude_04,"Ensure factual accuracy by citing credible, authoritative sources for all claims.","Factual Accuracy","Source Citation","accuracy + authoritative citations are two independent requirements"
claude,claude_05,"Focus content entirely, eliminating irrelevant information, promotional material, and conversational filler.","Topic Focus","Informational Purpose","focus/relevance + removal of promotion/conversational content"
claude,claude_06,"Maintain an objective, neutral tone, avoiding emotional appeals and unsubstantiated opinions.","Neutral Tone","","explicit objective/neutral requirement"
claude,claude_07,"Provide specific, actionable details or instructions instead of high-level, abstract concepts.","Actionable","","specific here refers to actionable instructions, not evidentiary data/examples"
claude,claude_08,"Structure content logically with clear headings, subheadings, lists, and focused paragraphs to facilitate parsing.","Logical Structure","","clear headings/lists/paragraph organization; focused paragraphs alone are insufficient to force Single Idea"
claude,claude_09,"Support claims with specific, verifiable evidence such as quantifiable data, statistics, or concrete examples.","Specific Evidence","","explicit quantitative/verifiable evidence"
claude,claude_10,"Use clear, simple, and unambiguous language, avoiding excessive jargon.","Clear Language","","clarity/simple language/no jargon"
claude,claude_11,"Use current, up-to-date information and data, especially for time-sensitive topics.","Up-to-date","","explicit recency requirement"
claude,claude_12,"Write concisely, avoiding repetition, excessive verbosity, and unnecessary preamble.","Conciseness","","explicit conciseness/redundancy requirement"
