dataset,rule_id,rule,keyword_1,keyword_2,notes
researchy_geo,researchy_geo_01,"Clearly define key terms and distinguish between related but distinct concepts.","Term Definition","","explicitly requires defining terms/concepts"
researchy_geo,researchy_geo_02,"Ensure all content maintains a tight focus and eliminates tangential, promotional, or contradictory information.","Topic Focus","","primary requirement is removing tangential/off-topic content"
researchy_geo,researchy_geo_03,"Explain the underlying mechanisms, processes, and causal factors (the 'how' and 'why').","In-depth","","directly matches the paper's how/why explanatory-depth definition"
researchy_geo,researchy_geo_04,"Minimize non-informational content like advertisements, user metadata, or excessive navigation that can hinder automated parsing.","Topic Focus","","ads/navigation/non-content noise are explicitly covered by Topic Focus in the paper"
researchy_geo,researchy_geo_05,"Present information as a coherent and unified narrative, avoiding fragmented, repetitive, or incomplete content.","Cohesive Flow","","core requirement is coherence and avoidance of fragmentation"
researchy_geo,researchy_geo_06,"Present information factually and objectively, distinguishing between evidence and opinion, and providing a balanced view.","Neutral Tone","Balanced View","objective fact/opinion distinction + explicitly balanced perspective"
researchy_geo,researchy_geo_07,"Provide actionable advice, solutions, or next steps.","Actionable","","directly asks for actionable advice/next steps"
researchy_geo,researchy_geo_08,"Structure information with a clear hierarchy using headings, subheadings, lists, and distinct paragraphs to ensure logical flow and facilitate automated parsing.","Logical Structure","Cohesive Flow","hierarchical structural elements + explicit logical flow"
researchy_geo,researchy_geo_09,"Substantiate claims with specific, verifiable details such as concrete examples, data, statistics, and citations to credible sources.","Specific Evidence","Source Citation","data/examples/statistics + citations to credible sources"
researchy_geo,researchy_geo_10,"Write clearly and concisely, avoiding jargon, repetition, and unnecessary verbosity to deliver information efficiently.","Clear Language","Conciseness","clear/no jargon + avoid repetition/verbosity"

geo_bench,geo_bench_01,"Clearly state the publication or data-recency date to establish timeliness and context.","Up-to-date","","explicit recency/timeliness signal"
geo_bench,geo_bench_02,"Content must minimize tangential discussions, promotional material, and other noise.","Topic Focus","","primary requirement is exclusion of tangential/noisy content"
geo_bench,geo_bench_03,"Ensure all information is factually accurate, verifiable, and attributed to credible sources or authors where possible.","Factual Accuracy","Source Citation","accuracy/verifiability + attribution to credible sources"
geo_bench,geo_bench_04,"Explain underlying mechanisms, reasons, and nuances to provide deeper understanding beyond surface-level facts.","In-depth","","direct why/mechanism/deeper-understanding requirement"
geo_bench,geo_bench_05,"Organize content with a clear, logical structure using headings, lists, tables, and distinct sections to facilitate automated parsing and information extraction.","Logical Structure","Cohesive Flow","paper maps this type of logical hierarchy rule to both structure and cohesive flow"
geo_bench,geo_bench_06,"Present a balanced, multi-faceted perspective, including different viewpoints, theories, or counterarguments where appropriate.","Balanced View","","explicit multiple viewpoints/counterarguments"
geo_bench,geo_bench_07,"Present information in a cohesive, logically flowing narrative or argument, avoiding fragmented or disconnected points.","Cohesive Flow","","explicit cohesive narrative and connected flow"
geo_bench,geo_bench_08,"Provide a comprehensive and complete answer, covering multiple facets, contexts, and nuances.","Comprehensive","","explicit breadth and completeness"
geo_bench,geo_bench_09,"Provide specific, quantifiable details such as names, dates, statistics, and concrete examples to support claims, avoiding vague or general statements.","Specific Evidence","","directly matches specific evidence definition"
geo_bench,geo_bench_10,"Use clear, action-oriented language when providing instructions, steps, or recommendations.","Actionable","","instructions/steps/recommendations are actionable guidance"
geo_bench,geo_bench_11,"Write clearly and concisely, avoiding jargon, conversational filler, and unnecessary verbosity to ensure information is easily digestible.","Clear Language","Conciseness","clear/no jargon + avoid filler/verbosity"

ecommerce,ecommerce_01,"Ensure all information is factually accurate, internally consistent, and up-to-date.","Factual Accuracy","Up-to-date","accuracy/internal consistency + recency"
ecommerce,ecommerce_02,"Maintain a tight focus, removing any irrelevant, promotional, or navigational content.","Topic Focus","","primary requirement is tight topical focus and removal of noise"
ecommerce,ecommerce_03,"Offer comprehensive coverage, including a sufficient breadth of options and nuanced perspectives like pros and cons.","Comprehensive","Pros & Cons Rec","breadth/comprehensiveness + explicit pros-and-cons comparison"
ecommerce,ecommerce_04,"Present information concisely, eliminating filler words, unnecessary jargon, and verbose narrative.","Conciseness","Clear Language","avoid verbosity/filler + unnecessary jargon"
ecommerce,ecommerce_05,"Prioritize objective, authoritative, or evidence-backed information over subjective opinions or unverified claims.","Neutral Tone","Non-Exaggerated","objective over subjective/unverified content matches both paper categories"
ecommerce,ecommerce_06,"Provide actionable guidance through clear recommendations, use cases, justifications, or next steps.","Step-by-Step Guide","","paper's E-commerce label explicitly includes actionable guidance and clear recommendations"
ecommerce,ecommerce_07,"Provide specific, verifiable, and quantifiable details such as names, metrics, and specifications instead of generalizations.","Production Details","","nearly exact match to paper's E-commerce production-details rule"
ecommerce,ecommerce_08,"Use a clear, hierarchical structure with elements like headings, subheadings, lists, and tables to facilitate automated parsing.","Logical Structure","","explicit hierarchy/headings/lists/tables"
